Model,Family,Platform,# of CPU Cores,# of Threads,Base Clock,score
A8-8600P with Radeon™ R6 Graphics,AMD A-Series Processors,All-in-One,4.0,4.0,1.6,2.7614970045783958
A4-5100 with Radeon™ HD 8330,AMD A-Series Processors,"Laptop, Tablet",4.0,4.0,1.55,2.6923407170948224
A4-5100 with Radeon™ HD 8330,AMD A-Series Processors,Desktop,4.0,4.0,1.55,2.6923407170948224
E2-6110 with Radeon™ R2 Graphics,AMD E-Series Processors,Laptop,4.0,4.0,1.5,2.6231844296112508
A4-5000 with Radeon™ HD 8330,AMD A-Series Processors,"Laptop, Tablet",4.0,4.0,1.5,2.6231844296112508
A4-5000 with Radeon™ HD 8330,AMD A-Series Processors,Desktop,4.0,4.0,1.5,2.6231844296112508
6th Gen AMD PRO A6-8500B APU,AMD PRO A-Series Processors,Laptop,2.0,4.0,1.6,2.578665069543701
E2-3000 with Radeon™ HD 8280,AMD E-Series Processors,Laptop,2.0,2.0,1.65,2.556405389509926
A6-8500P with Radeon™ R5 Graphics,AMD A-Series Processors,Laptop,2.0,2.0,1.6,2.487249102026354
TL-52,AMD Turion™,Laptop,2.0,2.0,1.6,2.487249102026354
7th Gen A4-9120C APU,AMD A-Series Processors,Laptop,2.0,2.0,1.6,2.487249102026354
A6-8500P with Radeon™ R5 Graphics,AMD A-Series Processors,All-in-One,2.0,2.0,1.6,2.487249102026354
E1-7010 with Radeon™ R2 Graphics,AMD E-Series Processors,All-in-One,2.0,2.0,1.5,2.3489365270592093
E1-7010 with Radeon™ R2 Graphics,AMD E-Series Processors,Laptop,2.0,2.0,1.5,2.3489365270592093
Sempron™ 3850 APU with Radeon™ R3 Series,AMD Sempron™,Desktop,4.0,4.0,1.3,2.346559279676962
E2-3800 with Radeon™ HD 8280,AMD E-Series Processors,Laptop,4.0,4.0,1.3,2.346559279676962
